points,M=17:21,F=17:21,M=22:26,F=22:26,M=27:31,F=27:31,M=32:36,F=32:36,M=37:41,F=37:41,M=42:46,F=42:46,M=47:51,F=47:51,M=52:56,F=52:56,M=57:61,F=57:61,M=62:62,F=62:62
32,00:01:16,00:01:16,00:01:11,00:01:11,00:01:06,00:01:06,00:01:01,00:01:01,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56,00:00:56
31,,,,,,,,,,,,,,,,,,,,
30,00:01:15,00:01:15,00:01:10,00:01:10,00:01:05,00:01:05,00:01:00,00:01:00,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55,00:00:55
29,,,,,,,,,,,,,,,,,,,,
28,00:01:14,00:01:14,00:01:09,00:01:09,00:01:04,00:01:04,00:00:59,00:00:59,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54,00:00:54
27,,,,,,,,,,,,,,,,,,,,
26,00:01:13,00:01:13,00:01:08,00:01:08,00:01:03,00:01:03,00:00:58,00:00:58,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53,00:00:53
25,,,,,,,,,,,,,,,,,,,,
24,00:01:12,00:01:12,00:01:07,00:01:07,00:01:02,00:01:02,00:00:57,00:00:57,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52,00:00:52
23,,,,,,,,,,,,,,,,,,,,
22,00:01:11,00:01:11,00:01:06,00:01:06,00:01:01,00:01:01,00:00:56,00:00:56,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51,00:00:51
21,,,,,,,,,,,,,,,,,,,,
20,00:01:10,00:01:10,00:01:05,00:01:05,00:01:00,00:01:00,00:00:55,00:00:55,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50,00:00:50
19,,,,,,,,,,,,,,,,,,,,
18,00:01:09,00:01:09,00:01:04,00:01:04,00:00:59,00:00:59,00:00:54,00:00:54,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49,00:00:49
17,,,,,,,,,,,,,,,,,,,,
16,00:01:08,00:01:08,00:01:03,00:01:03,00:00:58,00:00:58,00:00:53,00:00:53,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48,00:00:48
15,,,,,,,,,,,,,,,,,,,,
14,00:01:07,00:01:07,00:01:02,00:01:02,00:00:57,00:00:57,00:00:52,00:00:52,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47,00:00:47
13,,,,,,,,,,,,,,,,,,,,
12,00:01:06,00:01:06,00:01:01,00:01:01,00:00:56,00:00:56,00:00:51,00:00:51,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46,00:00:46
11,,,,,,,,,,,,,,,,,,,,
10,00:01:05,00:01:05,00:01:00,00:01:00,00:00:55,00:00:55,00:00:50,00:00:50,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45,00:00:45
9,,,,,,,,,,,,,,,,,,,,
8,00:01:04,00:01:04,00:00:59,00:00:59,00:00:54,00:00:54,00:00:49,00:00:49,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44,00:00:44
7,,,,,,,,,,,,,,,,,,,,
6,00:01:03,00:01:03,00:00:58,00:00:58,00:00:53,00:00:53,00:00:48,00:00:48,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43,00:00:43
5,,,,,,,,,,,,,,,,,,,,
4,00:01:02,00:01:02,00:00:57,00:00:57,00:00:52,00:00:52,00:00:47,00:00:47,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42,00:00:42
3,,,,,,,,,,,,,,,,,,,,
2,00:01:01,00:01:01,00:00:56,00:00:56,00:00:51,00:00:51,00:00:46,00:00:46,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41,00:00:41
1,,,,,,,,,,,,,,,,,,,,
0,00:01:00,00:01:00,00:00:55,00:00:55,00:00:50,00:00:50,00:00:45,00:00:45,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40,00:00:40
